country,cause_id,d_bothsex,d_male,d_female,year
Germany,0,845400,475300,370000,2019
Germany,20,16200,9000,7200,2019
Germany,380,20900,12400,8500,2019
Germany,420,0,0,0,2019
Germany,490,1500,900,700,2019
Germany,540,1600,700,900,2019
Germany,610,228800,131100,97700,2019
Germany,790,8200,4500,3700,2019
Germany,800,15600,8900,6600,2019
Germany,810,10700,5300,5400,2019
Germany,820,8700,6300,2400,2019
Germany,940,78200,38300,39900,2019
Germany,1100,284900,158300,126700,2019
Germany,1170,54100,31800,22200,2019
Germany,1210,39500,23700,15900,2019
Germany,1260,28700,15200,13500,2019
Germany,1330,1500,700,800,2019
Germany,1340,4600,2000,2600,2019
Germany,1400,2300,1300,1000,2019
Germany,1505,100,100,0,2019
Germany,1520,28200,17000,11200,2019
Germany,1600,11100,8100,3000,2019
United States of America,0,2949200,1508000,1441200,2019
United States of America,20,73400,37600,35900,2019
United States of America,380,60600,28800,31800,2019
United States of America,420,800,0,800,2019
United States of America,490,11300,6300,5000,2019
United States of America,540,10200,3900,6300,2019
United States of America,610,617700,324000,293700,2019
United States of America,790,17700,9700,8100,2019
United States of America,800,61400,35600,25800,2019
United States of America,810,47000,23500,23400,2019
United States of America,820,90500,59900,30600,2019
United States of America,940,370700,141100,229600,2019
United States of America,1100,873200,448600,424600,2019
United States of America,1170,266000,129700,136300,2019
United States of America,1210,114700,60500,54200,2019
United States of America,1260,106600,52900,53700,2019
United States of America,1330,5400,2400,3000,2019
United States of America,1340,15200,5700,9400,2019
United States of America,1400,11800,6300,5400,2019
United States of America,1505,1400,800,600,2019
United States of America,1520,120000,73400,46600,2019
United States of America,1600,73300,57100,16200,2019
Trinidad and Tobago,0,9400,5500,3900,2019
Trinidad and Tobago,20,300,100,100,2019
Trinidad and Tobago,380,200,100,100,2019
Trinidad and Tobago,420,0,0,0,2019
Trinidad and Tobago,490,200,100,100,2019
Trinidad and Tobago,540,0,0,0,2019
Trinidad and Tobago,610,2100,1100,1000,2019
Trinidad and Tobago,790,0,0,0,2019
Trinidad and Tobago,800,1300,700,600,2019
Trinidad and Tobago,810,100,100,100,2019
Trinidad and Tobago,820,0,0,0,2019
Trinidad and Tobago,940,300,200,200,2019
Trinidad and Tobago,1100,2800,1600,1200,2019
Trinidad and Tobago,1170,200,100,100,2019
Trinidad and Tobago,1210,300,200,100,2019
Trinidad and Tobago,1260,500,300,200,2019
Trinidad and Tobago,1330,0,0,0,2019
Trinidad and Tobago,1340,0,0,0,2019
Trinidad and Tobago,1400,100,100,0,2019
Trinidad and Tobago,1505,0,0,0,2019
Trinidad and Tobago,1520,300,200,100,2019
Trinidad and Tobago,1600,700,600,100,2019
Lithuania,0,42000,19400,22600,2019
Lithuania,20,700,400,400,2019
Lithuania,380,700,400,300,2019
Lithuania,420,0,0,0,2019
Lithuania,490,0,0,0,2019
Lithuania,540,0,0,0,2019
Lithuania,610,8500,4700,3900,2019
Lithuania,790,200,100,100,2019
Lithuania,800,500,200,300,2019
Lithuania,810,100,0,0,2019
Lithuania,820,300,300,100,2019
Lithuania,940,1200,400,700,2019
Lithuania,1100,24000,9400,14500,2019
Lithuania,1170,700,500,200,2019
Lithuania,1210,2100,1100,1000,2019
Lithuania,1260,400,200,300,2019
Lithuania,1330,0,0,0,2019
Lithuania,1340,100,100,100,2019
Lithuania,1400,100,0,0,2019
Lithuania,1505,0,0,0,2019
Lithuania,1520,1400,900,500,2019
Lithuania,1600,900,700,200,2019
Japan,0,1351700,696600,655000,2019
Japan,20,27400,12800,14600,2019
Japan,380,108100,56900,51200,2019
Japan,420,0,0,0,2019
Japan,490,500,200,200,2019
Japan,540,3200,1400,1900,2019
Japan,610,403700,231200,172500,2019
Japan,790,15100,7700,7400,2019
Japan,800,5400,3100,2400,2019
Japan,810,11500,4900,6500,2019
Japan,820,2600,1400,1100,2019
Japan,940,87000,36100,50900,2019
Japan,1100,363800,164600,199200,2019
Japan,1170,129900,76000,53900,2019
Japan,1210,57600,29100,28500,2019
Japan,1260,54600,24900,29700,2019
Japan,1330,2800,1000,1800,2019
Japan,1340,9400,3600,5800,2019
Japan,1400,2500,1200,1300,2019
Japan,1505,100,100,0,2019
Japan,1520,46700,26800,19900,2019
Japan,1600,19700,13700,6100,2019
Denmark,0,54000,27200,26700,2019
Denmark,20,1200,600,600,2019
Denmark,380,2300,1100,1100,2019
Denmark,420,0,0,0,2019
Denmark,490,200,100,100,2019
Denmark,540,100,0,100,2019
Denmark,610,16400,8600,7700,2019
Denmark,790,400,200,200,2019
Denmark,800,1300,700,500,2019
Denmark,810,600,300,300,2019
Denmark,820,900,600,300,2019
Denmark,940,6600,2600,4000,2019
Denmark,1100,12800,6600,6200,2019
Denmark,1170,5200,2500,2700,2019
Denmark,1210,2300,1200,1100,2019
Denmark,1260,1400,700,700,2019
Denmark,1330,100,0,100,2019
Denmark,1340,400,100,300,2019
Denmark,1400,200,100,100,2019
Denmark,1505,0,0,0,2019
Denmark,1520,1200,700,500,2019
Denmark,1600,700,500,200,2019
France,0,597800,296800,301000,2019
France,20,11300,5200,6000,2019
France,380,19800,8800,11000,2019
France,420,100,0,100,2019
France,490,1600,900,700,2019
France,540,5300,1900,3500,2019
France,610,182100,103400,78700,2019
France,790,8800,4500,4300,2019
France,800,10900,5500,5400,2019
France,810,8100,3500,4600,2019
France,820,6100,4000,2000,2019
France,940,71600,26100,45400,2019
France,1100,148600,67800,80800,2019
France,1170,35400,18200,17200,2019
France,1210,26600,14200,12400,2019
France,1260,14700,6900,7800,2019
France,1330,1600,600,1000,2019
France,1340,4900,2000,2900,2019
France,1400,2000,1100,900,2019
France,1505,100,100,100,2019
France,1520,28500,15300,13200,2019
France,1600,9500,6700,2800,2019
Hungary,0,127300,61400,65900,2019
Hungary,20,700,300,400,2019
Hungary,380,1500,700,800,2019
Hungary,420,0,0,0,2019
Hungary,490,200,100,100,2019
Hungary,540,100,0,0,2019
Hungary,610,31700,17000,14700,2019
Hungary,790,600,300,300,2019
Hungary,800,2500,1200,1400,2019
Hungary,810,600,200,300,2019
Hungary,820,800,500,200,2019
Hungary,940,5800,2000,3700,2019
Hungary,1100,62100,27300,34800,2019
Hungary,1170,7000,3700,3300,2019
Hungary,1210,6300,3600,2600,2019
Hungary,1260,1400,600,800,2019
Hungary,1330,100,100,100,2019
Hungary,1340,400,100,300,2019
Hungary,1400,300,100,100,2019
Hungary,1505,0,0,0,2019
Hungary,1520,3500,2100,1400,2019
Hungary,1600,1700,1300,500,2019
Brunei Darussalam,0,2200,1200,1000,2019
Brunei Darussalam,20,100,100,100,2019
Brunei Darussalam,380,100,0,0,2019
Brunei Darussalam,420,0,0,0,2019
Brunei Darussalam,490,0,0,0,2019
Brunei Darussalam,540,0,0,0,2019
Brunei Darussalam,610,400,200,200,2019
Brunei Darussalam,790,0,0,0,2019
Brunei Darussalam,800,200,100,100,2019
Brunei Darussalam,810,100,100,0,2019
Brunei Darussalam,820,0,0,0,2019
Brunei Darussalam,940,100,100,100,2019
Brunei Darussalam,1100,700,400,300,2019
Brunei Darussalam,1170,100,100,100,2019
Brunei Darussalam,1210,100,0,0,2019
Brunei Darussalam,1260,100,100,100,2019
Brunei Darussalam,1330,0,0,0,2019
Brunei Darussalam,1340,0,0,0,2019
Brunei Darussalam,1400,0,0,0,2019
Brunei Darussalam,1505,0,0,0,2019
Brunei Darussalam,1520,100,100,0,2019
Brunei Darussalam,1600,0,0,0,2019
Canada,0,278200,141900,136300,2019
Canada,20,4100,2100,2000,2019
Canada,380,7500,3400,4100,2019
Canada,420,0,0,0,2019
Canada,490,1100,600,500,2019
Canada,540,600,200,300,2019
Canada,610,81600,43000,38600,2019
Canada,790,1700,900,800,2019
Canada,800,5700,3400,2300,2019
Canada,810,3200,1600,1600,2019
Canada,820,5400,3700,1600,2019
Canada,940,39500,16200,23300,2019
Canada,1100,70200,36200,34000,2019
Canada,1170,20000,10200,9800,2019
Canada,1210,12200,6300,5900,2019
Canada,1260,6500,3100,3400,2019
Canada,1330,700,300,400,2019
Canada,1340,2000,700,1200,2019
Canada,1400,1100,600,500,2019
Canada,1505,0,0,0,2019
Canada,1520,10000,5500,4500,2019
Canada,1600,5000,3700,1300,2019
China,0,10105600,5972100,4133500,2019
China,20,105500,67900,37600,2019
China,380,186000,106000,80000,2019
China,420,3600,0,3600,2019
China,490,47000,26500,20500,2019
China,540,16600,8100,8600,2019
China,610,2574700,1659700,915000,2019
China,790,4400,2800,1600,2019
China,800,161700,80600,81000,2019
China,810,25600,13600,12000,2019
China,820,43300,31000,12300,2019
China,940,397400,163500,233900,2019
China,1100,4306500,2429400,1877100,2019
China,1170,1013600,596000,417600,2019
China,1210,263500,174500,88900,2019
