cause_id,glo_bothsex,glo_male,glo_female,agegroup,year
0,55415772,30119285,25296487,allage,2019
20,5101200,2722126,2379074,allage,2019
380,2603913,1376941,1226972,allage,2019
420,196008,0,196008,allage,2019
490,2037549,1130484,907065,allage,2019
540,262737,121389,141348,allage,2019
610,9296641,5242879,4053761,allage,2019
790,138472,73422,65050,allage,2019
800,1496094,730234,765860,allage,2019
810,316274,150904,165370,allage,2019
820,347477,260207,87270,allage,2019
940,2299308,945669,1353639,allage,2019
1100,17863827,9323254,8540573,allage,2019
1170,4136899,2319889,1817010,allage,2019
1210,2455000,1461298,993702,allage,2019
1260,1641799,849825,791973,allage,2019
1330,96581,42249,54332,allage,2019
1340,151345,53341,98004,allage,2019
1400,532854,292730,240124,allage,2019
1505,30205,17119,13086,allage,2019
1520,3159247,2090860,1068387,allage,2019
1600,1250368,913532,336836,allage,2019
0,53278444,28977959,24300484,allage,2015
20,5581075,2972956,2608118,allage,2015
380,2584314,1367737,1216577,allage,2015
420,220946,0,220946,allage,2015
490,2250722,1243474,1007247,allage,2015
540,272272,127604,144667,allage,2015
610,8590892,4860690,3730202,allage,2015
790,119491,61969,57522,allage,2015
800,1333241,641494,691747,allage,2015
810,293490,138781,154709,allage,2015
820,308824,233093,75731,allage,2015
940,1909701,775196,1134505,allage,2015
1100,16858886,8752849,8106037,allage,2015
1170,3885894,2190959,1694935,allage,2015
1210,2328820,1387910,940910,allage,2015
1260,1482285,766903,715382,allage,2015
1330,83895,36435,47460,allage,2015
1340,132122,45580,86543,allage,2015
1400,581983,318874,263109,allage,2015
1505,33950,19095,14855,allage,2015
1520,3076592,2056436,1020156,allage,2015
1600,1347253,979082,368171,allage,2015
0,52034370,28378711,23655659,allage,2010
20,6472884,3410444,3062439,allage,2010
380,2658827,1416415,1242412,allage,2010
420,266796,0,266796,allage,2010
490,2549856,1399833,1150023,allage,2010
540,286812,138345,148467,allage,2010
610,7922360,4504476,3417884,allage,2010
790,100891,51943,48948,allage,2010
800,1137657,544601,593056,allage,2010
810,259785,122273,137513,allage,2010
820,275038,213182,61856,allage,2010
940,1499697,615904,883793,allage,2010
1100,15887913,8224345,7663568,allage,2010
1170,3716855,2109026,1607829,allage,2010
1210,2269466,1364074,905392,allage,2010
1260,1294174,673644,620530,allage,2010
1330,71424,31167,40257,allage,2010
1340,118772,40384,78388,allage,2010
1400,598881,326933,271948,allage,2010
1505,36271,20270,16001,allage,2010
1520,3327309,2240081,1087227,allage,2010
1600,1281262,930715,350548,allage,2010
0,51266697,27447379,23819318,allage,2000
20,8613516,4490871,4122645,allage,2000
380,3074719,1613351,1461369,allage,2000
420,380168,0,380168,allage,2000
490,3198431,1752629,1445802,allage,2000
540,447062,215447,231615,allage,2000
610,6793964,3820452,2973512,allage,2000
790,77466,38833,38633,allage,2000
800,877288,404827,472461,allage,2000
810,214966,100767,114200,allage,2000
820,258565,202467,56098,allage,2000
940,988389,413717,574672,allage,2000
1100,14281317,7142095,7139222,allage,2000
