country,economic_level
Afghanistan,Low
Angola,Low-middle
Burundi,Low
Benin,Low-middle
Bulgaria,Upper-middle
Brazil,Upper-middle
Brunei Darussalam,High
Bhutan,Low-middle
Central African Republic,Low
Canada,High
China,Upper-middle
Côte d'Ivoire,Low-middle
Cameroon,Low-middle
Germany,High
Denmark,High
Algeria,Low-middle
Egypt,Low-middle
Ethiopia,Low
France,High
Hungary,High
India,Low-middle
Iraq,Upper-middle
Jordan,Upper-middle
Japan,High
Libya,Upper-middle
Lithuania,High
Madagascar,Low
Mexico,Upper-middle
Niger,Low
Nigeria,Low-middle
Peru,Upper-middle
Rwanda,Low
Sudan,Low
El Salvador,Low-middle
Chad,Low
Togo,Low
Thailand,Upper-middle
Trinidad and Tobago,High
United States of America,High
South Africa,Upper-middle
