cause_id,death_cause
0,all causes
20,Infectious and parasitic diseases
380,Respiratory Infectious 
420,Maternal conditions
490,Neonatal conditions
540,Nutritional deficiencies
610,Malignant neoplasms
790,Other neoplasms
800,Diabetes mellitus
810,Endocrine blood immune disorders
820,Mental and substance use disorders
940,Neurological conditions
1100,Cardiovascular diseases
1170,Respiratory diseases
1210,Digestive diseases
1260,Genitourinary diseases
1330,Skin diseases
1340,Musculoskeletal diseases
1400,Congenital anomalies
1505,Sudden infant death syndrome
1520,Unintentional injuries
1600,Intentional injuries
