country,sum_pop,male,female,year
Afghanistan,20780000,10690000,10090000,2000
Albania,3129000,1584000,1546000,2000
Algeria,31042000,15731000,15311000,2000
Afghanistan,29186000,14936000,14250000,2010
Antigua and Barbuda,76000,36000,40000,2000
Argentina,36871000,17895000,18976000,2000
Armenia,3070000,1441000,1629000,2000
Australia,18991000,9474000,9518000,2000
Austria,8069000,3916000,4153000,2000
Azerbaijan,8123000,3971000,4151000,2000
Bahamas,298000,145000,153000,2000
Bahrain,665000,381000,283000,2000
Bangladesh,127658000,65595000,62063000,2000
Barbados,272000,130000,141000,2000
Belarus,9872000,4634000,5238000,2000
Belgium,10282000,5035000,5247000,2000
Belize,247000,125000,123000,2000
Benin,6866000,3383000,3483000,2000
Bhutan,591000,302000,289000,2000
Bolivia (Plurinational State of),8418000,4235000,4183000,2000
Bosnia and Herzegovina,3751000,1842000,1910000,2000
Botswana,1643000,795000,848000,2000
Brazil,174790000,86582000,88209000,2000
Brunei Darussalam,333000,169000,164000,2000
Bulgaria,7998000,3898000,4100000,2000
Burkina Faso,11608000,5702000,5906000,2000
Afghanistan,34414000,17686000,16727000,2015
Cabo Verde,428000,206000,222000,2000
Cambodia,12155000,5907000,6248000,2000
Cameroon,15514000,7722000,7792000,2000
Canada,30588000,15152000,15436000,2000
Central African Republic,3640000,1795000,1845000,2000
Chad,8356000,4159000,4197000,2000
Chile,15342000,7548000,7794000,2000
China,1297585000,665642000,631942000,2000
Colombia,39630000,19427000,20203000,2000
Comoros,542000,273000,270000,2000
Congo,3127000,1543000,1584000,2000
Costa Rica,3962000,1989000,1974000,2000
Afghanistan,38042000,19530000,18512000,2019
Croatia,4428000,2132000,2296000,2000
Cuba,11126000,5547000,5579000,2000
Cyprus,943000,475000,468000,2000
Czechia,10289000,5006000,5284000,2000
Democratic People's Republic of Korea,22929000,11178000,11751000,2000
Democratic Republic of the Congo,47106000,23359000,23747000,2000
Denmark,5341000,2643000,2698000,2000
Djibouti,718000,361000,357000,2000
Dominican Republic,8471000,4245000,4227000,2000
Ecuador,12681000,6365000,6316000,2000
Egypt,68832000,34650000,34181000,2000
El Salvador,5888000,2836000,3052000,2000
Equatorial Guinea,606000,314000,292000,2000
Eritrea,2292000,1141000,1151000,2000
Estonia,1399000,653000,747000,2000
Eswatini,1005000,483000,522000,2000
Ethiopia,66225000,33019000,33205000,2000
Fiji,811000,412000,399000,2000
Finland,5188000,2533000,2655000,2000
France,59015000,28625000,30390000,2000
Gabon,1228000,610000,618000,2000
Gambia,1318000,656000,661000,2000
Georgia,4362000,2072000,2290000,2000
Germany,81401000,39641000,41760000,2000
Ghana,19279000,9731000,9548000,2000
Greece,11082000,5508000,5574000,2000
Grenada,103000,51000,52000,2000
Guatemala,11651000,5717000,5934000,2000
Guinea,8241000,3934000,4307000,2000
Guinea-Bissau,1201000,581000,620000,2000
Guyana,747000,372000,375000,2000
Haiti,8464000,4168000,4296000,2000
Honduras,6575000,3270000,3305000,2000
Hungary,10221000,4862000,5358000,2000
Iceland,280000,140000,140000,2000
India,1056576000,549388000,507188000,2000
Indonesia,211514000,105854000,105660000,2000
Iran (Islamic Republic of),65623000,33388000,32236000,2000
Iraq,23498000,11852000,11645000,2000
Ireland,3783000,1880000,1903000,2000
Israel,5946000,2930000,3016000,2000
Italy,56692000,27435000,29258000,2000
Jamaica,2655000,1320000,1334000,2000
Japan,127524000,62625000,64900000,2000
Jordan,5122000,2655000,2467000,2000
Kazakhstan,14923000,7177000,7746000,2000
Kenya,31965000,15867000,16098000,2000
Kiribati,84000,42000,43000,2000
Kuwait,2045000,1195000,850000,2000
Kyrgyzstan,4921000,2433000,2488000,2000
Lao People's Democratic Republic,5324000,2650000,2674000,2000
Latvia,2384000,1096000,1289000,2000
Lebanon,3843000,1915000,1928000,2000
Lesotho,2033000,977000,1056000,2000
Liberia,2848000,1420000,1428000,2000
Libya,5358000,2781000,2577000,2000
Lithuania,3502000,1639000,1863000,2000
Luxembourg,436000,215000,221000,2000
Madagascar,15767000,7850000,7916000,2000
Malawi,11149000,5504000,5645000,2000
Malaysia,23194000,11818000,11376000,2000
Maldives,279000,141000,138000,2000
Mali,10946000,5428000,5518000,2000
Malta,394000,195000,198000,2000
Mauritania,2630000,1308000,1322000,2000
Mauritius,1185000,588000,597000,2000
Mexico,98900000,48558000,50342000,2000
Micronesia (Federated States of),107000,54000,53000,2000
Mongolia,2397000,1196000,1202000,2000
Montenegro,614000,303000,310000,2000
Morocco,28794000,14269000,14525000,2000
Mozambique,17712000,8469000,9243000,2000
Myanmar,46720000,22630000,24090000,2000
Namibia,1795000,865000,929000,2000
Nepal,23941000,11920000,12021000,2000
Netherlands,15926000,7889000,8037000,2000
New Zealand,3859000,1894000,1965000,2000
Nicaragua,5069000,2507000,2562000,2000
Niger,11332000,5613000,5718000,2000
Nigeria,122284000,61648000,60635000,2000
North Macedonia,2035000,1019000,1015000,2000
Norway,4499000,2229000,2270000,2000
Oman,2268000,1273000,995000,2000
Pakistan,142344000,73474000,68870000,2000
Panama,3030000,1527000,1503000,2000
Papua New Guinea,5848000,2972000,2875000,2000
Paraguay,5323000,2701000,2622000,2000
Peru,26460000,13191000,13269000,2000
Philippines,77992000,39281000,38711000,2000
Poland,38557000,18718000,19839000,2000
Portugal,10297000,4966000,5331000,2000
Qatar,592000,386000,206000,2000
Republic of Korea,47379000,23772000,23607000,2000
Republic of Moldova,4203000,2011000,2191000,2000
Romania,22137000,10830000,11308000,2000
Russian Federation,146405000,68503000,77902000,2000
Rwanda,7934000,3876000,4058000,2000
Saint Lucia,157000,77000,80000,2000
Saint Vincent and the Grenadines,108000,54000,53000,2000
Samoa,174000,91000,84000,2000
Sao Tome and Principe,142000,70000,72000,2000
Saudi Arabia,20664000,11248000,9415000,2000
Senegal,9798000,4813000,4984000,2000
Serbia,9488000,4656000,4832000,2000
Seychelles,81000,40000,41000,2000
Sierra Leone,4585000,2274000,2311000,2000
Singapore,4029000,2066000,1963000,2000
Slovakia,5399000,2622000,2778000,2000
Slovenia,1988000,972000,1016000,2000
Solomon Islands,413000,212000,201000,2000
Somalia,8872000,4443000,4429000,2000
South Africa,44968000,22172000,22796000,2000
South Sudan,6199000,3088000,3112000,2000
Spain,40825000,20041000,20784000,2000
Sri Lanka,18778000,9366000,9412000,2000
Sudan,27275000,13677000,13598000,2000
Suriname,471000,238000,233000,2000
Sweden,8882000,4392000,4489000,2000
Switzerland,7144000,3490000,3653000,2000
Syrian Arab Republic,16411000,8302000,8109000,2000
Tajikistan,6216000,3114000,3103000,2000
Thailand,62953000,31094000,31858000,2000
Timor-Leste,884000,447000,438000,2000
Togo,4924000,2432000,2493000,2000
Tonga,98000,50000,48000,2000
Trinidad and Tobago,1267000,631000,636000,2000
Tunisia,9708000,4889000,4819000,2000
Turkey,63240000,31144000,32096000,2000
Turkmenistan,4516000,2223000,2293000,2000
Uganda,23650000,11643000,12007000,2000
Ukraine,48838000,22734000,26104000,2000
United Arab Emirates,3134000,2117000,1017000,2000
United Kingdom,58923000,28712000,30212000,2000
United Republic of Tanzania,33499000,16661000,16838000,2000
United States of America,281711000,138762000,142949000,2000
Uruguay,3320000,1607000,1713000,2000
Uzbekistan,24770000,12317000,12453000,2000
Vanuatu,185000,95000,90000,2000
Venezuela (Bolivarian Republic of),24192000,12140000,12053000,2000
Viet Nam,79910000,39570000,40340000,2000
Yemen,17409000,8783000,8626000,2000
Zambia,10416000,5164000,5252000,2000
Zimbabwe,11881000,5814000,6067000,2000
Angola,16395000,8155000,8240000,2000
Albania,2948000,1485000,1463000,2010
Algeria,35977000,18161000,17816000,2010
Angola,23356000,11549000,11807000,2010
Antigua and Barbuda,88000,42000,46000,2010
Argentina,40896000,19899000,20997000,2010
Armenia,2877000,1346000,1531000,2010
Australia,22155000,11079000,11075000,2010
Austria,8410000,4099000,4311000,2010
Azerbaijan,9032000,4475000,4557000,2010
Bahamas,355000,172000,183000,2010
Bahrain,1241000,774000,467000,2010
Bangladesh,147575000,75016000,72560000,2010
Barbados,282000,135000,147000,2010
Belarus,9421000,4380000,5041000,2010
Belgium,10939000,5372000,5567000,2010
Belize,322000,161000,161000,2010
Benin,9199000,4569000,4630000,2010
Bhutan,686000,360000,325000,2010
Bolivia (Plurinational State of),10049000,5056000,4992000,2010
Bosnia and Herzegovina,3705000,1820000,1886000,2010
Botswana,1987000,972000,1015000,2010
Brazil,195714000,96536000,99177000,2010
Brunei Darussalam,389000,201000,188000,2010
Bulgaria,7425000,3616000,3809000,2010
Burkina Faso,15605000,7738000,7868000,2010
Angola,27884000,13791000,14093000,2015
Cabo Verde,493000,246000,247000,2010
Cambodia,14312000,6972000,7340000,2010
Cameroon,20341000,10154000,10187000,2010
Canada,34148000,16942000,17206000,2010
Central African Republic,4387000,2172000,2215000,2010
Chad,11952000,5962000,5990000,2010
Chile,17063000,8397000,8666000,2010
China,1376315000,706949000,669366000,2010
Colombia,45223000,22160000,23063000,2010
Comoros,690000,348000,342000,2010
Congo,4274000,2126000,2147000,2010
Costa Rica,4577000,2293000,2285000,2010
Angola,31825000,15745000,16081000,2019
Croatia,4328000,2085000,2244000,2010
Cuba,11226000,5584000,5642000,2010
Cyprus,1113000,556000,557000,2010
Czechia,10537000,5172000,5365000,2010
Democratic People's Republic of Korea,24549000,11995000,12554000,2010
Democratic Republic of the Congo,64564000,32142000,32422000,2010
Denmark,5555000,2756000,2799000,2010
Djibouti,840000,447000,393000,2010
Dominican Republic,9695000,4866000,4829000,2010
Ecuador,15011000,7520000,7491000,2010
Egypt,82761000,41806000,40955000,2010
El Salvador,6184000,2926000,3257000,2010
Equatorial Guinea,944000,513000,430000,2010
Eritrea,3170000,1584000,1586000,2010
Estonia,1332000,620000,712000,2010
Eswatini,1065000,502000,563000,2010
Ethiopia,87640000,43727000,43912000,2010
Fiji,860000,439000,421000,2010
Finland,5366000,2633000,2732000,2010
France,62880000,30459000,32421000,2010
Gabon,1624000,822000,802000,2010
Gambia,1793000,890000,903000,2010
Georgia,4099000,1953000,2146000,2010
Germany,80827000,39619000,41208000,2010
Ghana,24780000,12533000,12246000,2010
Greece,10888000,5349000,5539000,2010
Grenada,106000,54000,53000,2010
Guatemala,14630000,7186000,7444000,2010
Guinea,10192000,4858000,5334000,2010
Guinea-Bissau,1523000,738000,785000,2010
Guyana,749000,372000,377000,2010
Haiti,9949000,4907000,5042000,2010
Honduras,8317000,4149000,4169000,2010
Hungary,9927000,4710000,5217000,2010
Iceland,320000,161000,159000,2010
India,1234281000,642164000,592117000,2010
Indonesia,241834000,121821000,120014000,2010
Iran (Islamic Republic of),73763000,37180000,36582000,2010
Iraq,29742000,15022000,14720000,2010
Ireland,4554000,2263000,2291000,2010
Israel,7346000,3628000,3718000,2010
Italy,59325000,28705000,30621000,2010
Jamaica,2810000,1398000,1413000,2010
Japan,128542000,62875000,65668000,2010
Jordan,7262000,3704000,3558000,2010
Kazakhstan,16252000,7856000,8397000,2010
Kenya,42031000,20869000,21162000,2010
Kiribati,103000,51000,52000,2010
Kuwait,2992000,1730000,1262000,2010
Kyrgyzstan,5422000,2680000,2743000,2010
Lao People's Democratic Republic,6249000,3099000,3150000,2010
Latvia,2119000,970000,1149000,2010
Lebanon,4953000,2516000,2437000,2010
Lesotho,1996000,970000,1026000,2010
Liberia,3891000,1948000,1943000,2010
Libya,6198000,3164000,3033000,2010
Lithuania,3124000,1438000,1686000,2010
Luxembourg,508000,252000,256000,2010
Madagascar,21152000,10536000,10615000,2010
Malawi,14540000,7154000,7385000,2010
Malaysia,28208000,14550000,13658000,2010
Maldives,366000,199000,167000,2010
Mali,15049000,7517000,7532000,2010
Malta,414000,206000,209000,2010
Mauritania,3494000,1747000,1747000,2010
Mauritius,1248000,619000,629000,2010
Mexico,114093000,55826000,58267000,2010
Micronesia (Federated States of),103000,52000,51000,2010
Mongolia,2720000,1349000,1371000,2010
Montenegro,624000,308000,316000,2010
Morocco,32343000,15947000,16397000,2010
Mozambique,23532000,11351000,12180000,2010
Myanmar,50601000,24399000,26202000,2010
Namibia,2119000,1024000,1095000,2010
Nepal,27013000,13297000,13717000,2010
Netherlands,16683000,8284000,8399000,2010
New Zealand,4370000,2146000,2224000,2010
Nicaragua,5824000,2869000,2955000,2010
Niger,16464000,8227000,8237000,2010
Nigeria,158503000,80161000,78342000,2010
North Macedonia,2071000,1035000,1036000,2010
Norway,4886000,2442000,2443000,2010
Oman,3041000,1835000,1207000,2010
Pakistan,179425000,92427000,86998000,2010
Panama,3643000,1830000,1812000,2010
Papua New Guinea,7311000,3720000,3591000,2010
Paraguay,6248000,3178000,3070000,2010
Peru,29028000,14474000,14554000,2010
Philippines,93967000,47398000,46569000,2010
Poland,38330000,18532000,19798000,2010
Portugal,10596000,5071000,5525000,2010
Qatar,1856000,1419000,437000,2010
Republic of Korea,49546000,24825000,24721000,2010
Republic of Moldova,4086000,1964000,2122000,2010
Romania,20472000,9940000,10532000,2010
Russian Federation,143479000,66541000,76938000,2010
Rwanda,10039000,4921000,5118000,2010
Saint Lucia,174000,86000,88000,2010
Saint Vincent and the Grenadines,108000,55000,53000,2010
Samoa,186000,96000,90000,2010
Sao Tome and Principe,180000,90000,90000,2010
Saudi Arabia,27421000,15427000,11994000,2010
Senegal,12678000,6172000,6506000,2010
Serbia,8991000,4406000,4585000,2010
Seychelles,91000,47000,44000,2010
Sierra Leone,6416000,3193000,3223000,2010
Singapore,5131000,2675000,2456000,2010
Slovakia,5404000,2621000,2783000,2010
Slovenia,2043000,1012000,1031000,2010
Solomon Islands,528000,268000,260000,2010
Somalia,12044000,6016000,6028000,2010
South Africa,51217000,25270000,25947000,2010
South Sudan,9508000,4752000,4756000,2010
Spain,46931000,23196000,23735000,2010
Sri Lanka,20262000,9866000,10395000,2010
Sudan,34545000,17232000,17313000,2010
Suriname,529000,267000,263000,2010
Sweden,9390000,4677000,4713000,2010
Switzerland,7809000,3845000,3964000,2010
Syrian Arab Republic,21363000,10785000,10577000,2010
Tajikistan,7527000,3798000,3730000,2010
Thailand,67195000,32931000,34264000,2010
Timor-Leste,1094000,553000,541000,2010
Togo,6422000,3186000,3236000,2010
Tonga,104000,52000,52000,2010
Trinidad and Tobago,1328000,658000,670000,2010
Tunisia,10635000,5303000,5332000,2010
Turkey,72327000,35564000,36763000,2010
Turkmenistan,5087000,2503000,2585000,2010
Uganda,32428000,15915000,16513000,2010
Ukraine,45792000,21137000,24655000,2010
United Arab Emirates,8550000,6396000,2154000,2010
United Kingdom,63460000,31175000,32285000,2010
United Republic of Tanzania,44347000,22119000,22227000,2010
United States of America,309011000,152611000,156401000,2010
Uruguay,3359000,1619000,1740000,2010
Uzbekistan,28516000,14182000,14334000,2010
Vanuatu,236000,120000,116000,2010
Venezuela (Bolivarian Republic of),28440000,14190000,14250000,2010
Viet Nam,87968000,43746000,44221000,2010
Yemen,23155000,11672000,11483000,2010
Zambia,13606000,6719000,6887000,2010
Zimbabwe,12698000,6049000,6649000,2010
Burundi,6379000,3132000,3247000,2000
Albania,2891000,1471000,1419000,2015
Algeria,39728000,20064000,19664000,2015
Burundi,8676000,4288000,4388000,2010
Antigua and Barbuda,94000,45000,49000,2015
Argentina,43075000,20989000,22086000,2015
Armenia,2926000,1375000,1550000,2015
Australia,23932000,11925000,12007000,2015
Austria,8679000,4249000,4430000,2015
Azerbaijan,9623000,4789000,4834000,2015
Bahamas,374000,182000,193000,2015
Bahrain,1372000,847000,525000,2015
Bangladesh,156256000,79217000,77039000,2015
Barbados,285000,138000,148000,2015
Belarus,9439000,4392000,5047000,2015
Belgium,11288000,5549000,5739000,2015
Belize,361000,180000,181000,2015
Benin,10576000,5270000,5306000,2015
Bhutan,728000,384000,344000,2015
Bolivia (Plurinational State of),10870000,5463000,5406000,2015
Bosnia and Herzegovina,3429000,1681000,1748000,2015
Botswana,2121000,1021000,1100000,2015
Brazil,204472000,100658000,103814000,2015
Brunei Darussalam,415000,216000,199000,2015
Bulgaria,7200000,3502000,3698000,2015
Burkina Faso,18111000,9019000,9092000,2015
Burundi,10160000,5031000,5129000,2015
Cabo Verde,525000,263000,262000,2015
Cambodia,15521000,7570000,7951000,2015
Cameroon,23298000,11641000,11657000,2015
Canada,36027000,17864000,18163000,2015
Central African Republic,4493000,2227000,2267000,2015
Chad,14111000,7042000,7069000,2015
Chile,17969000,8845000,9125000,2015
China,1414636000,726130000,688506000,2015
Colombia,47521000,23289000,24232000,2015
Comoros,777000,392000,385000,2015
Congo,4856000,2423000,2434000,2015
Costa Rica,4848000,2426000,2422000,2015
Burundi,11531000,5719000,5812000,2019
Croatia,4233000,2035000,2197000,2015
Cuba,11325000,5628000,5697000,2015
Cyprus,1161000,581000,580000,2015
Czechia,10601000,5209000,5392000,2015
Democratic People's Republic of Korea,25184000,12314000,12870000,2015
Democratic Republic of the Congo,76245000,38020000,38225000,2015
Denmark,5689000,2829000,2860000,2015
Djibouti,914000,483000,431000,2015
Dominican Republic,10282000,5147000,5134000,2015
Ecuador,16212000,8115000,8097000,2015
Egypt,92443000,46718000,45725000,2015
El Salvador,6325000,2974000,3351000,2015
Equatorial Guinea,1169000,646000,523000,2015
Eritrea,3343000,1674000,1668000,2015
Estonia,1315000,615000,700000,2015
Eswatini,1104000,532000,572000,2015
Ethiopia,100835000,50409000,50427000,2015
Fiji,869000,441000,427000,2015
Finland,5481000,2698000,2784000,2015
France,64453000,31231000,33222000,2015
Gabon,1948000,992000,956000,2015
Gambia,2086000,1035000,1051000,2015
Georgia,4024000,1922000,2102000,2015
Germany,81787000,40225000,41563000,2015
Ghana,27849000,14105000,13744000,2015
Greece,10660000,5233000,5427000,2015
Grenada,110000,55000,54000,2015
Guatemala,16252000,7995000,8257000,2015
Guinea,11432000,5475000,5957000,2015
Guinea-Bissau,1737000,846000,891000,2015
Guyana,767000,384000,384000,2015
Haiti,10696000,5280000,5416000,2015
Honduras,9113000,4550000,4563000,2015
Hungary,9778000,4647000,5131000,2015
Iceland,330000,166000,165000,2015
India,1310152000,681223000,628929000,2015
Indonesia,258383000,130133000,128250000,2015
Iran (Islamic Republic of),78492000,39730000,38762000,2015
Iraq,35572000,17984000,17589000,2015
Ireland,4652000,2303000,2350000,2015
Israel,7978000,3956000,4022000,2015
Italy,60578000,29394000,31184000,2015
Jamaica,2891000,1437000,1454000,2015
Japan,127985000,62537000,65448000,2015
Jordan,9267000,4693000,4573000,2015
Kazakhstan,17572000,8508000,9064000,2015
Kenya,47878000,23783000,24096000,2015
Kiribati,111000,54000,56000,2015
Kuwait,3836000,2256000,1580000,2015
Kyrgyzstan,5959000,2948000,3011000,2015
Lao People's Democratic Republic,6741000,3381000,3360000,2015
Latvia,1998000,916000,1082000,2015
Lebanon,6533000,3288000,3245000,2015
Lesotho,2059000,1012000,1047000,2015
Liberia,4472000,2244000,2229000,2015
Libya,6418000,3248000,3170000,2015
Lithuania,2932000,1350000,1582000,2015
Luxembourg,567000,284000,282000,2015
Madagascar,24234000,12082000,12152000,2015
Malawi,16745000,8250000,8495000,2015
Malaysia,30271000,15585000,14686000,2015
Maldives,455000,271000,184000,2015
Mali,17439000,8720000,8719000,2015
Malta,434000,217000,217000,2015
Mauritania,4046000,2028000,2019000,2015
Mauritius,1259000,624000,636000,2015
Mexico,121858000,59594000,62264000,2015
Micronesia (Federated States of),109000,55000,54000,2015
Mongolia,2998000,1482000,1516000,2015
Montenegro,627000,310000,317000,2015
Morocco,34664000,17171000,17493000,2015
Mozambique,27042000,13092000,13950000,2015
Myanmar,52681000,25392000,27289000,2015
Namibia,2315000,1120000,1194000,2015
Nepal,27015000,12398000,14617000,2015
Netherlands,16938000,8420000,8518000,2015
New Zealand,4615000,2269000,2346000,2015
Nicaragua,6223000,3067000,3156000,2015
Niger,20002000,10030000,9972000,2015
Nigeria,181137000,91721000,89417000,2015
North Macedonia,2079000,1040000,1039000,2015
Norway,5200000,2618000,2582000,2015
Oman,4267000,2783000,1484000,2015
Pakistan,199427000,102641000,96786000,2015
Panama,3968000,1990000,1978000,2015
Papua New Guinea,8108000,4134000,3973000,2015
Paraguay,6689000,3404000,3285000,2015
Peru,30471000,15133000,15337000,2015
Philippines,102113000,51389000,50724000,2015
Poland,38034000,18435000,19599000,2015
Portugal,10368000,4910000,5458000,2015
Qatar,2566000,1950000,615000,2015
Republic of Korea,50823000,25466000,25357000,2015
Republic of Moldova,4071000,1956000,2114000,2015
Romania,19925000,9700000,10225000,2015
Russian Federation,144985000,67171000,77814000,2015
Rwanda,11369000,5583000,5786000,2015
Saint Lucia,179000,88000,91000,2015
Saint Vincent and the Grenadines,109000,56000,54000,2015
Samoa,194000,100000,93000,2015
Sao Tome and Principe,199000,100000,100000,2015
Saudi Arabia,31718000,18041000,13677000,2015
Senegal,14578000,7089000,7489000,2015
Serbia,8877000,4351000,4526000,2015
Seychelles,95000,49000,46000,2015
Sierra Leone,7172000,3574000,3598000,2015
Singapore,5592000,2926000,2666000,2015
